Head,Type,2013,2014,2015,2016,2017,2018,2019,2020
Punjab's share in the divisible pool after adjusting for arrears,Head,560,655,760,914,1082,1268,1471,1636
Punjab's own tax revenue,Head,78,92,107,129,152,179,208,231
Total transfers under article 161 of the constitution and clause 5 & 6 of the NFC award,Head,13,9,11,13,26,29,32,35
Total federal and foreign grants,Head,7.5,8.3,8.0,8.7,15.1,26.9,44.1,67.0
Non-tax revenue raised by the provincial government,Head,32,36,39,43,47,52,57,63
